藏	0.9000	0.9170	0.9250	0.9309	0.9375	0.9375	0.9367	0.9341	0.9359	0.9338	0.9333	0.9343	0.9373	0.9362	0.9338	0.9357	0.9317	0.9357	0.9349	0.9306	0.9346	0.9349	0.9335	0.9338	0.9295	0.9373	0.9282	0.9357	0.9357	0.9396	0.9343	0.9357	0.9370	0.9335	0.9330	0.9354	0.9341	0.9322	0.9380	0.9375	0.9394	0.9322	0.9362	0.9357	0.9351	0.9373	0.9346	0.9357	0.9367	0.9346
挨	0.9337	0.9511	0.9500	0.9538	0.9603	0.9500	0.9533	0.9587	0.9517	0.9549	0.9522	0.9538	0.9522	0.9522	0.9538	0.9484	0.9533	0.9527	0.9533	0.9495	0.9479	0.9484	0.9484	0.9527	0.9522	0.9517	0.9506	0.9565	0.9565	0.9506	0.9527	0.9565	0.9511	0.9565	0.9517	0.9511	0.9560	0.9538	0.9533	0.9549	0.9522	0.9517	0.9533	0.9479	0.9489	0.9506	0.9571	0.9522	0.9522	0.9500
长	0.9155	0.9255	0.9321	0.9425	0.9434	0.9439	0.9440	0.9450	0.9435	0.9407	0.9419	0.9402	0.9372	0.9418	0.9394	0.9416	0.9383	0.9384	0.9425	0.9433	0.9412	0.9424	0.9418	0.9428	0.9413	0.9447	0.9418	0.9418	0.9412	0.9400	0.9407	0.9396	0.9383	0.9399	0.9385	0.9414	0.9396	0.9428	0.9389	0.9395	0.9410	0.9433	0.9374	0.9445	0.9429	0.9408	0.9399	0.9396	0.9399	0.9430
得	0.8671	0.8821	0.8893	0.8902	0.8953	0.8928	0.8900	0.8901	0.8886	0.8840	0.8846	0.8770	0.8829	0.8768	0.8739	0.8798	0.8836	0.8629	0.8786	0.8756	0.8768	0.8733	0.8718	0.8621	0.8733	0.8689	0.8683	0.8691	0.8687	0.8715	0.8722	0.8710	0.8721	0.8685	0.8762	0.8752	0.8727	0.8714	0.8731	0.8674	0.8674	0.8583	0.8654	0.8730	0.8707	0.8679	0.8625	0.8722	0.8702	0.8697
中	0.9854	0.9863	0.9876	0.9875	0.9870	0.9870	0.9860	0.9858	0.9861	0.9858	0.9871	0.9858	0.9876	0.9848	0.9869	0.9869	0.9880	0.9865	0.9869	0.9862	0.9873	0.9859	0.9871	0.9865	0.9865	0.9874	0.9863	0.9878	0.9869	0.9881	0.9870	0.9871	0.9874	0.9878	0.9875	0.9885	0.9878	0.9874	0.9879	0.9875	0.9878	0.9872	0.9872	0.9876	0.9875	0.9875	0.9870	0.9874	0.9875	0.9878
载	0.9346	0.9261	0.9480	0.9474	0.9448	0.9506	0.9506	0.9533	0.9477	0.9454	0.9487	0.9448	0.9477	0.9451	0.9510	0.9448	0.9480	0.9457	0.9408	0.9467	0.9477	0.9461	0.9457	0.9477	0.9487	0.9428	0.9529	0.9461	0.9464	0.9457	0.9415	0.9457	0.9441	0.9457	0.9470	0.9477	0.9444	0.9425	0.9438	0.9418	0.9421	0.9421	0.9428	0.9428	0.9441	0.9454	0.9418	0.9454	0.9457	0.9434
了	0.9760	0.9835	0.9819	0.9872	0.9851	0.9851	0.9840	0.9813	0.9856	0.9808	0.9861	0.9840	0.9840	0.9845	0.9835	0.9872	0.9877	0.9883	0.9856	0.9867	0.9861	0.9829	0.9861	0.9877	0.9851	0.9856	0.9840	0.9840	0.9845	0.9872	0.9840	0.9861	0.9835	0.9856	0.9845	0.9867	0.9851	0.9851	0.9872	0.9835	0.9845	0.9856	0.9861	0.9845	0.9856	0.9840	0.9851	0.9851	0.9840	0.9851
累	0.9412	0.9537	0.9582	0.9591	0.9601	0.9483	0.9604	0.9569	0.9569	0.9582	0.9575	0.9578	0.9553	0.9540	0.9591	0.9553	0.9521	0.9566	0.9556	0.9553	0.9556	0.9578	0.9575	0.9569	0.9607	0.9594	0.9575	0.9614	0.9562	0.9575	0.9578	0.9572	0.9585	0.9553	0.9598	0.9562	0.9572	0.9562	0.9588	0.9607	0.9562	0.9582	0.9582	0.9562	0.9582	0.9582	0.9575	0.9591	0.9588	0.9582
少	0.9730	0.9788	0.9790	0.9800	0.9825	0.9800	0.9763	0.9785	0.9790	0.9793	0.9805	0.9808	0.9795	0.9770	0.9805	0.9803	0.9798	0.9755	0.9795	0.9813	0.9798	0.9810	0.9840	0.9798	0.9783	0.9788	0.9803	0.9780	0.9808	0.9805	0.9810	0.9810	0.9798	0.9810	0.9795	0.9808	0.9823	0.9815	0.9815	0.9808	0.9798	0.9798	0.9795	0.9793	0.9803	0.9775	0.9803	0.9798	0.9783	0.9780
背	0.9203	0.9211	0.9077	0.9325	0.9381	0.9381	0.9369	0.9362	0.9362	0.9354	0.9364	0.9362	0.9374	0.9389	0.9372	0.9347	0.9283	0.9347	0.9339	0.9347	0.9330	0.9344	0.9347	0.9322	0.9344	0.9401	0.9381	0.9374	0.9364	0.9342	0.9349	0.9334	0.9374	0.9411	0.9384	0.9332	0.9367	0.9349	0.9359	0.9381	0.9399	0.9367	0.9367	0.9359	0.9386	0.9409	0.9364	0.9401	0.9352	0.9354
行	0.9330	0.9476	0.9543	0.9537	0.9560	0.9572	0.9570	0.9519	0.9562	0.9550	0.9550	0.9511	0.9523	0.9521	0.9498	0.9521	0.9523	0.9521	0.9541	0.9511	0.9492	0.9525	0.9513	0.9502	0.9496	0.9482	0.9496	0.9490	0.9515	0.9513	0.9531	0.9535	0.9552	0.9511	0.9517	0.9531	0.9523	0.9517	0.9507	0.9523	0.9513	0.9480	0.9504	0.9515	0.9507	0.9529	0.9519	0.9505	0.9519	0.9521
曾	0.9658	0.9704	0.9734	0.9726	0.9727	0.9756	0.9749	0.9737	0.9741	0.9714	0.9736	0.9741	0.9743	0.9726	0.9736	0.9736	0.9729	0.9741	0.9734	0.9726	0.9739	0.9732	0.9763	0.9726	0.9722	0.9739	0.9737	0.9726	0.9731	0.9729	0.9715	0.9732	0.9715	0.9748	0.9739	0.9726	0.9719	0.9726	0.9719	0.9724	0.9726	0.9724	0.9731	0.9727	0.9714	0.9727	0.9705	0.9719	0.9732	0.9741
分	0.9672	0.9729	0.9766	0.9773	0.9775	0.9765	0.9725	0.9746	0.9754	0.9746	0.9732	0.9742	0.9753	0.9765	0.9765	0.9727	0.9766	0.9772	0.9768	0.9766	0.9737	0.9770	0.9766	0.9768	0.9777	0.9765	0.9763	0.9770	0.9739	0.9749	0.9754	0.9759	0.9737	0.9744	0.9742	0.9751	0.9756	0.9741	0.9754	0.9758	0.9744	0.9754	0.9744	0.9741	0.9747	0.9739	0.9734	0.9770	0.9763	0.9766
卡	0.9711	0.9783	0.9810	0.9799	0.9823	0.9815	0.9794	0.9802	0.9807	0.9820	0.9799	0.9786	0.9802	0.9823	0.9700	0.9812	0.9788	0.9796	0.9788	0.9804	0.9818	0.9799	0.9788	0.9802	0.9786	0.9796	0.9786	0.9815	0.9796	0.9772	0.9791	0.9799	0.9815	0.9796	0.9807	0.9762	0.9791	0.9753	0.9778	0.9756	0.9786	0.9804	0.9818	0.9802	0.9802	0.9815	0.9807	0.9807	0.9812	0.9796
干	0.8926	0.9068	0.9194	0.9160	0.9244	0.9209	0.9295	0.9186	0.9244	0.9134	0.9203	0.9213	0.9166	0.9171	0.9166	0.9119	0.9162	0.9156	0.9130	0.9119	0.9173	0.9124	0.9145	0.9130	0.9147	0.9117	0.9143	0.9154	0.9145	0.9184	0.9145	0.9121	0.9177	0.9190	0.9156	0.9186	0.9169	0.9139	0.9141	0.9171	0.9126	0.9147	0.9117	0.9199	0.9141	0.9139	0.9119	0.9169	0.9154	0.9136
宁	0.9694	0.9772	0.9792	0.9819	0.9810	0.9816	0.9822	0.9804	0.9810	0.9810	0.9816	0.9807	0.9786	0.9757	0.9804	0.9801	0.9789	0.9810	0.9807	0.9807	0.9822	0.9801	0.9798	0.9795	0.9798	0.9795	0.9810	0.9822	0.9825	0.9792	0.9783	0.9813	0.9801	0.9807	0.9795	0.9804	0.9807	0.9816	0.9810	0.9810	0.9816	0.9780	0.9772	0.9801	0.9825	0.9804	0.9804	0.9828	0.9816	0.9810
喝	0.9834	0.9852	0.9870	0.9852	0.9893	0.9864	0.9882	0.9882	0.9870	0.9882	0.9876	0.9870	0.9858	0.9852	0.9876	0.9882	0.9899	0.9911	0.9846	0.9876	0.9876	0.9864	0.9882	0.9887	0.9905	0.9887	0.9846	0.9834	0.9887	0.9893	0.9887	0.9893	0.9858	0.9882	0.9882	0.9887	0.9876	0.9870	0.9882	0.9876	0.9893	0.9893	0.9882	0.9887	0.9899	0.9876	0.9887	0.9899	0.9882	0.9882
量	0.9639	0.9762	0.9775	0.9759	0.9786	0.9806	0.9779	0.9768	0.9755	0.9782	0.9771	0.9784	0.9766	0.9768	0.9782	0.9766	0.9757	0.9773	0.9771	0.9784	0.9784	0.9777	0.9784	0.9786	0.9784	0.9782	0.9784	0.9764	0.9773	0.9773	0.9771	0.9762	0.9786	0.9773	0.9786	0.9777	0.9775	0.9784	0.9782	0.9779	0.9793	0.9804	0.9788	0.9786	0.9784	0.9797	0.9777	0.9782	0.9795	0.9788
朝	0.9626	0.9693	0.9733	0.9745	0.9716	0.9741	0.9722	0.9737	0.9710	0.9727	0.9729	0.9689	0.9720	0.9712	0.9714	0.9729	0.9735	0.9735	0.9733	0.9735	0.9756	0.9743	0.9733	0.9745	0.9722	0.9733	0.9718	0.9745	0.9724	0.9735	0.9718	0.9724	0.9727	0.9733	0.9749	0.9741	0.9720	0.9708	0.9727	0.9735	0.9739	0.9764	0.9735	0.9735	0.9741	0.9716	0.9739	0.9718	0.9729	0.9741
待	0.9825	0.9858	0.9883	0.9878	0.9888	0.9881	0.9881	0.9876	0.9881	0.9878	0.9878	0.9881	0.9863	0.9861	0.9868	0.9876	0.9881	0.9886	0.9888	0.9881	0.9891	0.9886	0.9893	0.9878	0.9876	0.9868	0.9863	0.9873	0.9876	0.9861	0.9883	0.9871	0.9896	0.9878	0.9881	0.9873	0.9881	0.9881	0.9866	0.9876	0.9891	0.9881	0.9883	0.9871	0.9883	0.9873	0.9883	0.9891	0.9888	0.9886
觉	0.9907	0.9926	0.9926	0.9926	0.9944	0.9944	0.9944	0.9926	0.9926	0.9889	0.9926	0.9926	0.9926	0.9944	0.9944	0.9944	0.9926	0.9907	0.9907	0.9926	0.9926	0.9926	0.9907	0.9926	0.9944	0.9944	0.9926	0.9926	0.9926	0.9926	0.9926	0.9944	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926	0.9926
看	0.9851	0.9870	0.9888	0.9907	0.9926	0.9926	0.9944	0.9926	0.9907	0.9926	0.9907	0.9907	0.9907	0.9926	0.9926	0.9926	0.9888	0.9888	0.9907	0.9888	0.9926	0.9907	0.9888	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907	0.9907
划	0.9613	0.9664	0.9678	0.9681	0.9673	0.9690	0.9636	0.9664	0.9675	0.9690	0.9625	0.9675	0.9664	0.9653	0.9630	0.9608	0.9644	0.9630	0.9642	0.9608	0.9636	0.9656	0.9622	0.9650	0.9644	0.9642	0.9642	0.9602	0.9644	0.9619	0.9630	0.9622	0.9622	0.9656	0.9650	0.9625	0.9650	0.9639	0.9622	0.9625	0.9642	0.9644	0.9633	0.9647	0.9627	0.9605	0.9627	0.9627	0.9661	0.9605
调	0.9231	0.9407	0.9442	0.9528	0.9547	0.9563	0.9561	0.9503	0.9556	0.9510	0.9517	0.9507	0.9496	0.9500	0.9475	0.9500	0.9517	0.9517	0.9479	0.9528	0.9514	0.9503	0.9503	0.9496	0.9507	0.9517	0.9491	0.9530	0.9500	0.9505	0.9547	0.9477	0.9505	0.9519	0.9496	0.9468	0.9519	0.9482	0.9461	0.9510	0.9493	0.9535	0.9517	0.9493	0.9510	0.9496	0.9475	0.9493	0.9475	0.9461
弹	0.9087	0.9243	0.9296	0.9354	0.9513	0.9465	0.9394	0.9465	0.9478	0.9531	0.9387	0.9513	0.9536	0.9510	0.9473	0.9463	0.9488	0.9523	0.9493	0.9465	0.9510	0.9503	0.9503	0.9478	0.9485	0.9503	0.9498	0.9470	0.9536	0.9495	0.9523	0.9516	0.9498	0.9490	0.9523	0.9503	0.9531	0.9503	0.9490	0.9493	0.9531	0.9523	0.9500	0.9510	0.9528	0.9528	0.9490	0.9485	0.9510	0.9536
称	0.9886	0.9918	0.9920	0.9931	0.9934	0.9928	0.9912	0.9923	0.9918	0.9923	0.9928	0.9928	0.9910	0.9923	0.9910	0.9918	0.9920	0.9918	0.9915	0.9926	0.9918	0.9915	0.9918	0.9926	0.9923	0.9934	0.9907	0.9915	0.9923	0.9920	0.9918	0.9920	0.9918	0.9926	0.9920	0.9923	0.9923	0.9918	0.9912	0.9915	0.9915	0.9910	0.9910	0.9912	0.9910	0.9912	0.9918	0.9918	0.9915	0.9912
奔	0.9212	0.9342	0.9356	0.9384	0.9363	0.9360	0.9421	0.9404	0.9353	0.9301	0.9360	0.9360	0.9342	0.9315	0.9346	0.9318	0.9315	0.9336	0.9318	0.9312	0.9274	0.9339	0.9315	0.9295	0.9329	0.9305	0.9336	0.9325	0.9339	0.9332	0.9322	0.9332	0.9373	0.9387	0.9349	0.9377	0.9346	0.9315	0.9277	0.9339	0.9336	0.9339	0.9322	0.9267	0.9312	0.9271	0.9312	0.9336	0.9339	0.9312
只	0.9817	0.9842	0.9848	0.9855	0.9855	0.9842	0.9848	0.9823	0.9836	0.9823	0.9848	0.9823	0.9829	0.9855	0.9823	0.9823	0.9848	0.9804	0.9842	0.9842	0.9842	0.9848	0.9848	0.9867	0.9842	0.9848	0.9855	0.9804	0.9842	0.9836	0.9829	0.9861	0.9855	0.9848	0.9855	0.9836	0.9836	0.9842	0.9842	0.9848	0.9836	0.9842	0.9842	0.9848	0.9836	0.9836	0.9836	0.9842	0.9842	0.9855
转	0.9298	0.9470	0.9522	0.9527	0.9484	0.9498	0.9513	0.9494	0.9443	0.9455	0.9458	0.9360	0.9431	0.9398	0.9443	0.9422	0.9424	0.9427	0.9410	0.9451	0.9441	0.9405	0.9458	0.9415	0.9439	0.9441	0.9434	0.9391	0.9431	0.9417	0.9436	0.9410	0.9388	0.9443	0.9408	0.9427	0.9408	0.9453	0.9448	0.9439	0.9446	0.9484	0.9429	0.9451	0.9451	0.9448	0.9453	0.9415	0.9422	0.9439
地	0.9713	0.9751	0.9780	0.9760	0.9762	0.9771	0.9782	0.9772	0.9757	0.9766	0.9762	0.9754	0.9749	0.9746	0.9778	0.9762	0.9744	0.9763	0.9750	0.9757	0.9764	0.9754	0.9772	0.9771	0.9773	0.9783	0.9775	0.9764	0.9761	0.9755	0.9756	0.9750	0.9769	0.9761	0.9757	0.9772	0.9772	0.9758	0.9769	0.9774	0.9775	0.9761	0.9771	0.9734	0.9758	0.9745	0.9755	0.9762	0.9767	0.9764
都	0.9878	0.9880	0.9913	0.9913	0.9898	0.9909	0.9898	0.9900	0.9900	0.9891	0.9900	0.9898	0.9897	0.9891	0.9897	0.9892	0.9892	0.9883	0.9886	0.9894	0.9894	0.9889	0.9878	0.9889	0.9900	0.9894	0.9883	0.9892	0.9886	0.9888	0.9888	0.9894	0.9885	0.9885	0.9889	0.9889	0.9881	0.9877	0.9888	0.9888	0.9892	0.9892	0.9895	0.9886	0.9894	0.9892	0.9895	0.9886	0.9888	0.9886
差	0.9204	0.9345	0.9358	0.9410	0.9441	0.9443	0.9468	0.9441	0.9434	0.9383	0.9432	0.9423	0.9372	0.9407	0.9394	0.9416	0.9414	0.9405	0.9394	0.9439	0.9427	0.9389	0.9439	0.9439	0.9427	0.9403	0.9414	0.9394	0.9416	0.9414	0.9372	0.9430	0.9405	0.9401	0.9403	0.9416	0.9401	0.9427	0.9432	0.9425	0.9405	0.9401	0.9396	0.9407	0.9369	0.9398	0.9398	0.9434	0.9398	0.9401
应	0.9479	0.9569	0.9596	0.9640	0.9628	0.9672	0.9643	0.9631	0.9618	0.9594	0.9640	0.9599	0.9636	0.9653	0.9611	0.9648	0.9614	0.9618	0.9614	0.9604	0.9604	0.9626	0.9614	0.9623	0.9621	0.9609	0.9616	0.9604	0.9609	0.9623	0.9633	0.9618	0.9606	0.9638	0.9640	0.9614	0.9626	0.9650	0.9621	0.9640	0.9645	0.9606	0.9636	0.9599	0.9618	0.9631	0.9628	0.9653	0.9677	0.9640
卷	0.9293	0.9409	0.9409	0.9457	0.9430	0.9465	0.9449	0.9449	0.9412	0.9489	0.9449	0.9467	0.9330	0.9441	0.9433	0.9422	0.9409	0.9401	0.9436	0.9414	0.9388	0.9478	0.9475	0.9446	0.9438	0.9481	0.9478	0.9467	0.9346	0.9446	0.9481	0.9399	0.9459	0.9422	0.9438	0.9417	0.9428	0.9430	0.9449	0.9467	0.9457	0.9430	0.9412	0.9393	0.9428	0.9462	0.9449	0.9444	0.9444	0.9465
乐	0.9406	0.9469	0.9532	0.9497	0.9500	0.9503	0.9516	0.9463	0.9453	0.9469	0.9469	0.9478	0.9478	0.9463	0.9422	0.9475	0.9447	0.9450	0.9466	0.9463	0.9437	0.9441	0.9472	0.9475	0.9463	0.9447	0.9441	0.9469	0.9459	0.9466	0.9466	0.9500	0.9459	0.9434	0.9475	0.9494	0.9441	0.9513	0.9472	0.9500	0.9485	0.9469	0.9507	0.9434	0.9485	0.9500	0.9500	0.9447	0.9456	0.9497
重	0.9250	0.9409	0.9473	0.9485	0.9547	0.9532	0.9525	0.9528	0.9480	0.9513	0.9513	0.9516	0.9547	0.9497	0.9494	0.9509	0.9509	0.9532	0.9525	0.9516	0.9494	0.9518	0.9561	0.9530	0.9504	0.9490	0.9532	0.9513	0.9525	0.9528	0.9506	0.9516	0.9535	0.9502	0.9518	0.9511	0.9537	0.9528	0.9516	0.9528	0.9559	0.9528	0.9540	0.9535	0.9540	0.9542	0.9523	0.9516	0.9532	0.9506
发	0.9802	0.9837	0.9866	0.9831	0.9837	0.9843	0.9837	0.9802	0.9820	0.9831	0.9825	0.9831	0.9837	0.9785	0.9814	0.9790	0.9785	0.9802	0.9825	0.9808	0.9808	0.9814	0.9796	0.9808	0.9785	0.9802	0.9802	0.9785	0.9796	0.9814	0.9837	0.9790	0.9790	0.9785	0.9802	0.9814	0.9796	0.9825	0.9814	0.9820	0.9825	0.9808	0.9814	0.9820	0.9814	0.9808	0.9814	0.9814	0.9814	0.9814
空	0.9522	0.9602	0.9640	0.9640	0.9633	0.9689	0.9648	0.9655	0.9631	0.9626	0.9636	0.9643	0.9592	0.9594	0.9616	0.9633	0.9602	0.9611	0.9633	0.9648	0.9636	0.9636	0.9638	0.9631	0.9640	0.9628	0.9621	0.9590	0.9611	0.9616	0.9609	0.9623	0.9619	0.9619	0.9626	0.9616	0.9633	0.9626	0.9616	0.9628	0.9655	0.9609	0.9633	0.9626	0.9631	0.9626	0.9602	0.9657	0.9631	0.9623
散	0.8627	0.8943	0.8909	0.9106	0.8946	0.9089	0.9151	0.9081	0.9163	0.9140	0.9109	0.9058	0.9103	0.9112	0.9101	0.9013	0.9030	0.9064	0.9098	0.9072	0.9064	0.9050	0.9098	0.9058	0.9036	0.9081	0.9061	0.9115	0.9027	0.9126	0.9092	0.9010	0.9081	0.9087	0.9103	0.9081	0.9103	0.9072	0.9075	0.9072	0.9101	0.9070	0.9095	0.9081	0.9089	0.9022	0.9039	0.9087	0.9092	0.9103
车	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
为	0.9370	0.9425	0.9481	0.9500	0.9500	0.9506	0.9499	0.9497	0.9483	0.9465	0.9470	0.9456	0.9456	0.9463	0.9451	0.9435	0.9472	0.9459	0.9456	0.9448	0.9476	0.9471	0.9454	0.9447	0.9433	0.9455	0.9453	0.9436	0.9451	0.9454	0.9447	0.9439	0.9463	0.9467	0.9459	0.9439	0.9452	0.9463	0.9456	0.9446	0.9436	0.9453	0.9439	0.9453	0.9432	0.9435	0.9441	0.9448	0.9458	0.9447
着	0.9724	0.9748	0.9791	0.9803	0.9803	0.9765	0.9812	0.9803	0.9800	0.9768	0.9796	0.9755	0.9790	0.9773	0.9769	0.9783	0.9779	0.9779	0.9775	0.9802	0.9784	0.9778	0.9796	0.9808	0.9799	0.9795	0.9803	0.9799	0.9782	0.9791	0.9798	0.9803	0.9810	0.9812	0.9810	0.9816	0.9795	0.9819	0.9803	0.9810	0.9810	0.9802	0.9807	0.9799	0.9808	0.9806	0.9803	0.9786	0.9798	0.9806
盛	0.9759	0.9798	0.9830	0.9824	0.9817	0.9840	0.9808	0.9843	0.9830	0.9859	0.9846	0.9814	0.9846	0.9846	0.9852	0.9849	0.9840	0.9836	0.9820	0.9862	0.9852	0.9859	0.9852	0.9843	0.9840	0.9833	0.9830	0.9846	0.9846	0.9833	0.9824	0.9827	0.9817	0.9836	0.9830	0.9824	0.9817	0.9840	0.9846	0.9820	0.9830	0.9817	0.9836	0.9836	0.9827	0.9833	0.9820	0.9833	0.9840	0.9846
倒	0.9028	0.9184	0.9260	0.9297	0.9176	0.9305	0.9299	0.9295	0.9316	0.9282	0.9320	0.9312	0.9314	0.9260	0.9357	0.9253	0.9327	0.9301	0.9325	0.9284	0.9305	0.9333	0.9305	0.9336	0.9308	0.9284	0.9308	0.9314	0.9297	0.9290	0.9299	0.9282	0.9308	0.9325	0.9301	0.9297	0.9279	0.9327	0.9327	0.9303	0.9292	0.9299	0.9310	0.9286	0.9299	0.9344	0.9284	0.9305	0.9297	0.9312
冲	0.9607	0.9685	0.9711	0.9723	0.9728	0.9694	0.9743	0.9663	0.9711	0.9702	0.9680	0.9697	0.9697	0.9692	0.9682	0.9689	0.9694	0.9716	0.9692	0.9685	0.9716	0.9702	0.9716	0.9714	0.9680	0.9706	0.9694	0.9711	0.9714	0.9721	0.9668	0.9711	0.9704	0.9711	0.9694	0.9697	0.9687	0.9702	0.9697	0.9716	0.9706	0.9716	0.9704	0.9697	0.9702	0.9699	0.9702	0.9687	0.9704	0.9704
数	0.9649	0.9728	0.9756	0.9761	0.9756	0.9749	0.9756	0.9752	0.9745	0.9726	0.9745	0.9738	0.9735	0.9752	0.9740	0.9710	0.9712	0.9738	0.9735	0.9730	0.9742	0.9733	0.9766	0.9756	0.9765	0.9751	0.9754	0.9749	0.9731	0.9728	0.9728	0.9752	0.9749	0.9758	0.9740	0.9735	0.9751	0.9763	0.9717	0.9758	0.9738	0.9751	0.9754	0.9751	0.9768	0.9765	0.9759	0.9768	0.9758	0.9766
种	0.9694	0.9788	0.9782	0.9788	0.9771	0.9800	0.9788	0.9759	0.9776	0.9800	0.9759	0.9771	0.9765	0.9776	0.9771	0.9759	0.9771	0.9765	0.9782	0.9776	0.9776	0.9800	0.9776	0.9788	0.9800	0.9776	0.9782	0.9788	0.9782	0.9776	0.9788	0.9800	0.9800	0.9782	0.9788	0.9776	0.9812	0.9788	0.9782	0.9771	0.9788	0.9788	0.9782	0.9782	0.9788	0.9800	0.9794	0.9800	0.9788	0.9788
